,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
28,https://www.sgcarmart.com/used_cars/info.php?ID=1070454&DL=3210,Audi,197800,26310,23-Jan-2018,47000,2017,2380,Auto,92401,02/03/2022,62990,85382,48109,1825,2995,1945,2,SUV
29,https://www.sgcarmart.com/used_cars/info.php?ID=1037318&DL=3845,Toyota,56800,11480,06-Apr-2016,65000,2015,742,Auto,32144,02/03/2022,19589,19589,45000,1493,1598,1205,2,Mid-Sized Sedan
30,https://www.sgcarmart.com/used_cars/info.php?ID=1042679&DL=3837,Ferrari,312999,40500,14-May-2010,25000,2007,5318,Auto,28769,02/03/2022,157469,157469,37502,2774,4308,1360,,Sports Car
31,https://www.sgcarmart.com/used_cars/info.php?ID=1072108&DL=2741,Honda,119800,11520,14-Feb-2022,98,2021,682,Auto,68156,02/03/2022,23709,10193,60761,3316,1496,1250,1,SUV
32,https://www.sgcarmart.com/used_cars/info.php?ID=1065927&DL=3049,Bentley,93250,23920,24-Jan-2006,58000,2005,10611,Auto,22852,02/03/2022,201558,221714,58615,1096,5998,2525,5,Luxury Sedan
33,https://www.sgcarmart.com/used_cars/info.php?ID=1072490&DL=2296,Suzuki,73800,8600,03-Nov-2010,110000,2010,883,Auto,28455,02/03/2022,15132,15132,33140,3108,1586,1090,5,Hatchback
34,https://www.sgcarmart.com/used_cars/info.php?ID=1048455&DL=3183,Mazda,175800,17100,29-Dec-2020,7392,2020,1210,Auto,71682,02/03/2022,41185,49659,39000,3196,1998,1137,1,Sports Car
35,https://www.sgcarmart.com/used_cars/info.php?ID=1044178&DL=2759,Honda,64500,12150,01-Sep-2016,88000,2016,742,Auto,38596,02/03/2022,19641,19641,55200,1619,1597,1249,2,Mid-Sized Sedan
36,https://www.sgcarmart.com/used_cars/info.php?ID=1037328&DL=3049,Mercedes-Benz,41800,5970,01-Jul-1989,483567,1989,,Auto,22353,02/03/2022,37467,65568,31933,2226,1997,,,Luxury Sedan
37,https://www.sgcarmart.com/used_cars/info.php?ID=1059200&DL=2339,Toyota,48000,9820,10-May-2016,60253,2015,684,Auto,28669,02/03/2022,13725,13725,45504,1527,1497,1045,3,Mid-Sized Sedan
